C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\high\t2	400136	400136
C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\high\t4	399961	399961
C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\high\t8	399408	399408
C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\low\t2	19825	19825
C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\low\t4	19734	19734
C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\low\t8	19831	19831
C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\med\t2	149853	149853
C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\med\t4	149478	149478
C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\med\t8	149181	149181
C:\Users\Tom\Documents\projects\safe_rust_audio_track\safe_rustcl\results\FGOS\seed1\transfer	9	0
